25 Toa Payoh Lorong 8,1.33904,103.85759,2.6,,2.6,,2.6,
Novotel Clarke Quay,1.29206,103.84498,,7am-5pm: $1.07 per hr; Aft 5pm: $3.21 per entry,,7am-1pm: $1.07 per hr; Aft 1pm: $3.21 per entry,3.21,$3.21 per entry
One Fullerton,1.28604,103.85359,,0700-1800: 5; 1801-0659: 5,5,,5,
Orchard Grand Court Hotel,1.29751,103.83821,,0700-1700: 2.5; 1701-0659: 3,,0700-1700: 2.5; 1701-0659: 3,3,
Orchard Hotel Shopping Arcade,1.30356,103.8348,,0700-1800: 5; 1801-0659: 5.5,,0700-1800: 5; 1801-0659: 5.5,5,
Orchard Parade Hotel,1.30603,103.82673,4,,4,,4,
Pan Pacific Hotel,1.29212,103.85916,,0700-1700: 2.2; 1701-0159: 2.2; 0200-0659: 1.1,,0700-0159: 2.4; 0200-0659: 1.1,,0700-0159: 2.4; 0200-0659: 1.1
Pan Pacific Orchard,1.30742,103.82907,,0700-1659: 4; 1700-0659: 4,,0700-1659: 4; 1700-0659: 4,4,
Paramount Hotel,1.30306,103.903214,,0800-1659: 1.2; 1700-0759: 2.5,,0800-1659: 1.2; 1700-0759: 2.5,2.5,
PARKROYAL on Beach Road,1.30203,103.862991,,0700-1659: 2.5; 1700-0659: 2.5,,0700-1259: 2.5; 1300-0659: 2.5,2.5,
Peninsula Excelsior Hotel,1.29179,103.850952,,0800-1659: 2.60; 1700-0759: 4,,0800-1659: 2.60; 1700-0759: 4,,0800-1659: 1.5; 1700-0759: 4
Raffles Hotel,1.29616,103.85646,,0000-1759: 6; 1800-2359: 6,,0000-1759: 6; 1800-2359: 6,6,
Ramada Hotel,1.3277,103.846771,,0600-1759: 1.6; 1800-0559: 2.2,,0600-1759: 1.6; 1800-0559: 2.2,,0600-1759: 1.6; 1800-0559: 2.2
Regent Hotel,1.30505,103.82633,,0700-1759: 5; 1800-0659: 6,,0700-1759: 5; 1800-0659: 6,,0700-1759: 5; 1800-0659: 6
Rendezvous Hotel,1.29729,103.85035,3.2,,3.2,,3.2,
Royal Plaza On Scotts,1.3073,103.83328,,0800-1759: 4; 1800-0759: 5.5,,0800-1759: 4; 1800-0759: 5.5,5.5,
Shangri-la Hotel,1.311,103.8263,,0700-1659: 6; 1700-0659: 8 ,,0700-1659: 6; 1700-0659: 8 ,,0700-1659: 6; 1700-0659: 8 
