FALSE,United Square Shopping Mall,1.32702,103.84098,7pm-6pm: $2.20 for 1st hr; $1.10 for sub. hr,Aft 6pm: $2 per entry,7am-6pm: $2.20 for 1st 2hrs; $1.10 for sub. hr; Aft 6pm: $2 per entry,Same as Saturday,,0700-1800: 2.2; 1801-0659: 2,,0700-1800: 2.2; 1801-0659: 2,,0700-1800: 2.2; 1801-0659: 2,END
FALSE,Velocity @ Novena Square,1.319826,103.844002,6am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays,,0600-1800: 1.6;1801-0559: 2.2,,0600-1800: 1.6;1801-0559: 2.2,,0600-1800: 1.6;1801-0559: 2.2,END
FALSE,Yishun YS-ONE,1.4388,103.84229,0700-2230: $0.0167 /min,2230-0700: $0.0167 /min ;(Capped at $4.00),Same as wkdays,0700-2230: Free Parking. 2230-0700: $0.0167/min (Capped at $4.00),1,,1,,,0700-2230: F; 2231-0659:1,END
FALSE,112 Katong,1.30367,103.90346,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-5.59pm: $1.07 for 1st hr; $0.27 for sub. 15mins.,6pm-8.59pm:$1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,6am-9.59am: $0.54 for 1st hr; $0.16 for sub. 15mins. 10am-8.59pm: $1.28 for 1st 30mins; $0.65 for sub. 15mins. 9pm-5.59am: $0.54 for 1st hr; $0.16 for sub. 15mins.,Same as Saturday,,0600-0959: 0.54; 1000-1759: 1.07; 1800-2059: 2.56;  2100-0559: 0.54,,0600-0959: 0.54; 1000-2059: 2.56; 2100-0559: 0.54,,0600-0959: 0.54; 1000-2059: 2.56; 2100-0559: 0.54,END
FALSE,Bedok Mall,1.32466,103.93238,Daily: 12-11.59pm: $1.50 for 1st hr. $0.40 for sub. 15 mins,-,-,-,1.5,,1.5,,1.5,,END
FALSE,Bedok Point,1.32466,103.93238,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,$1.20 for 1st hr or part thereof; $0.70 for sub ½ hr or part thereof.,Same as wkdays,Same as wkdays,1.2,,,1.2,,1.2,END
FALSE,Century Square,1.35248,103.94461,3.01am-6pm: S$1.07 for 1st hr and S$0.32 every 15 mins or part thereof.,6.01am-3am: $2.14 per entry,3.01am-6pm:S$0.32 every 15 mins or part thereof; 6.01am-3am:$2.14 per entry.,Same as Saturday,,0301-1800: 1.07; 1801-0300: 2.14,,0301-1800:1.28; 1801-0300: 2.14,,0301-1800:1.28; 1801-0300: 2.14,END
FALSE,Changi Airport - South Car Park (between T2 and JetQuay),1.355322,103.988335,$0.035 per min. Capped at $35 per 24hrs. (Limited parking spaces and on a first-come. first-served basis),$0.035 per min. Capped at $35 per 24hrs.,$0.035 per min. Capped at $35 per 24hrs.,Same as Saturday,2.1,,2.1,,2.1,Same as Saturday,END
FALSE,Changi Airport - T1- T2- T3,1.355,103.988297,$0.04 per min      *Based on the per-minute rate of S$0.04. 24 hours of parking will be S$57.60.,$0.04 per min,$0.04 per min,Same as Saturday,2.4,,2.4,,2.4,,END
FALSE,Changi City Point,1.33619,103.963608,7.01am-6pm: $0.70 per ½ hr or part thereof.,6.01pm-7am: $2.50 per entry,7.01am-5pm: $2.50 for 1st 2hrs or part thereof; $1.20 for sub. ½ hr or part thereof. 5.01pm-7am: $2.50 per entry,Same as Saturday,,0701-1800: 0.7; 1801-700: 2.5 ,,0701-1700: 2.5; 1701-700: 2.5,,0701-1700: 2.5; 1701-700: 2.5,END
FALSE,Changi Village Hotel,1.39134,103.98155,8am-6pm: $2 for 1st hr; $1.50 for sub. hr,Aft 6pm: $5.35 per entry,Same as wkdays,Same as wkdays,,0800-1800: 2; 1801-0759: 5.35 ,,0800-1800: 2; 1801-0759: 5.35 ,,0800-1800: 2; 1801-0759: 5.35 ,END
FALSE,City Plaza,1.31561,103.89475,8am-5pm: $1.10 for 1st hr; $0.70 for sub. ½ hr,5pm-12am: $1.20 per entry; Aft 12am: $2.40 per entry,Same as wkdays,7am-12am: $1.20 per entry; Aft 12am: $2.40 per entry,,0800-1700: 1.1;1700-0000: 1.2; 0001-0759: 2.4,,0800-1700: 1.1;1700-0000: 1.2; 0001-0759: 2.4,,0700-0000: 1.2; 0001-0659: 2.4,END
FALSE,D'Resort,1.37669,103.9564,Mon-Thu (excluding PH. Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).,Mon-Thu (excluding PH. Eve of PH & School Holiday) $0.024 per min; Max/day: $15 (Valid up to 12 midnight and not applicable for multiple entries).,Fri-Sat (Including PH. Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $5 per entry. Max/day: $19.,Same as Saturday,1.44,,,0001-1659: 1.44; 1700-0000: 5 ,,0001-1659: 1.44; 1700-0000: 5 ,END
FALSE,Downtown East,1.37669,103.956398,Mon-Thu (excluding PH. Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).,Mon-Thu (excluding PH. Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.,Fri-Sat (Including PH. Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.,Same as Saturday,,Mon-Thu (excluding PH. Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).; Mon-Thu (excluding PH. Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.,,Fri-Sat (Including PH. Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.,,Same as Saturday,END
